date,close,sma,sma_long,rsi,ema,ema_long,mom,roc,adx,composite_score,bull_components,total_components,signal,atr,peak_composite,confidence,peak_confidence,effective_risk_fraction,realized_vol
2023-04-25,161.73904418945312,155.16517120361328,,55.0218285413152,158.33844996129196,,5.4219207763671875,3.4685392476415666,38.6563421346212,0.6,3,5,0,2.7420645636124386,0.6,0.5745986930266545,0.6038710941766192,,
2023-04-26,161.72914123535156,155.3609127807617,,54.99314722701857,158.53220374838108,,6.03424072265625,3.8756829560800066,38.142688879657,0.6,3,5,0,2.721148545310018,0.6,0.5745986930266545,0.6038710941766192,,
2023-04-27,166.3214874267578,155.66134063720702,,64.28953229633326,158.97730567285976,,7.545257568359375,4.7521329704631965,38.08320532888641,0.5669803556682484,3,5,-1,2.8653865032717944,0.6,0.5902241790907536,0.6038710941766192,,
2023-04-28,167.57571411132812,155.94478118896484,,66.3347671387503,159.4686432979151,,7.2292022705078125,4.508487392407012,38.17548796700307,0.6,3,5,-1,2.7996853488862863,0.6,0.6067340012566294,0.6067340012566294,,
2023-05-01,167.48681640625,156.25844177246094,,66.04603601702662,159.92682461839138,,4.6318206787109375,2.844137914233902,38.33099548844366,0.6,3,5,-1,2.7273900219299025,0.6,0.6067340012566294,0.6067340012566294,,
2023-05-02,166.44985961914062,156.57427520751952,,62.622031464560415,160.29956947557704,,2.340606689453125,1.4262490674160633,38.18366635698957,0.6,3,5,-1,2.7308024985430763,0.6,0.6067340012566294,0.6067340012566294,,
2023-05-03,165.37338256835938,156.94897033691407,,59.19139311247119,160.58950165230746,,1.7974090576171875,1.0988221674860688,38.11567003152443,0.6,3,5,0,2.8009855565924577,0.6,0.6067340012566294,0.6067340012566294,,
2023-05-04,163.7339630126953,157.28238342285155,,54.31150728543444,160.76918515861533,,2.00482177734375,1.2396169064091467,37.33318070218458,0.516885241305082,3,5,0,2.822419534271268,0.6,0.5356333305119503,0.6067340012566294,,
2023-05-05,171.41748046875,157.7597885131836,,67.7365692835677,161.37765917633732,,8.799484252929688,5.411138039882957,37.44110940838093,0.6,3,5,-1,3.2211367209852746,0.6,0.5771907098594092,0.6067340012566294,,
2023-05-08,171.34832763671875,158.28894287109375,,67.54420160085006,161.9474116597877,,11.327728271484375,7.078918786968003,37.543641679267466,0.6,3,5,-1,3.113800290454777,0.6,0.5771907098594092,0.6067340012566294,,
2023-05-09,169.63980102539062,158.76002746582031,,62.79896508452142,162.38697676639356,,10.833938598632812,6.822127617379037,37.523842831265085,0.6,3,5,-1,3.0282380168055627,0.6,0.5771907098594092,0.6067340012566294,,
2023-05-10,171.40760803222656,159.27654113769532,,65.49974896650372,162.90244141015543,151.38059851828586,13.293075561523438,8.40724464336413,37.55755493924598,0.8,4,5,-1,2.9713624118504436,0.8,0.7885953549297047,0.7885953549297047,,
2023-05-11,171.59524536132812,159.83828704833985,,65.78369577050985,163.39917306450815,151.8298128925757,8.088409423828125,4.946832575807347,37.65048079759622,0.7529745021449803,4,5,-1,2.929835571363341,0.8,0.766677542116944,0.7885953549297047,,
2023-05-12,170.66563415527344,160.36958923339844,,63.01652493908389,163.81439941255186,152.2483866984134,7.5044403076171875,4.599402670848374,37.505761972131246,0.8,4,5,-1,2.9367208424069973,0.8,0.790190291044454,0.790190291044454,,
2023-05-15,170.17112731933594,160.7898715209961,,61.53371172495472,164.17764100722525,152.6466698233228,6.9902191162109375,4.283723625014768,37.36827908793952,0.8,4,5,-1,2.849869614234516,0.8,0.790190291044454,0.790190291044454,,
2023-05-16,170.17112731933594,161.15484832763673,,61.533711724954706,164.52012593934586,153.0361022121231,5.7655792236328125,3.506924973284109,37.23767034795738,0.8,4,5,-1,2.7409652701532763,0.8,0.790190291044454,0.790190291044454,,
2023-05-17,170.78428649902344,161.57613494873047,,62.79272459038886,164.87807797132743,153.43050630738756,5.2331390380859375,3.161040632062506,36.74594430139529,0.8,4,5,-1,2.722488860072198,0.8,0.790190291044454,0.790190291044454,,
2023-05-18,173.11827087402344,162.01901641845703,,67.1943039453169,165.34894613719578,153.86801218664613,8.53497314453125,5.185807589394198,36.59718778049735,0.7997288039962606,4,5,-1,2.7159289186347304,0.8,0.8097937350771798,0.8097937350771798,,
2023-05-19,173.22703552246094,162.50910766601564,,67.38791658719529,165.79912267349664,154.29821270521978,10.253509521484375,6.291518489587644,36.60138465854448,0.8,4,5,-1,2.624362252330086,0.8,0.8099293330790496,0.8099293330790496,,
2023-05-22,172.27761840820312,163.02149261474608,,63.845738840374786,166.16932242976557,154.69775505417496,8.997940063476562,5.510753178040639,36.21894374689212,0.8,4,5,-1,2.5577035566672683,0.8,0.8099293330790496,0.8099293330790496,,
2023-05-23,169.66676330566406,163.44274871826173,,55.245755070054294,166.36917619410264,155.03039968198584,7.9277191162109375,4.901549379087955,35.34130718262947,0.8,4,5,0,2.5812793013041504,0.8,0.8099293330790496,0.8099293330790496,,
2023-05-24,169.94366455078125,163.82766876220703,,55.92385875229603,166.57343267162713,155.36180556795907,8.214523315429688,5.079185638830386,34.33805035613167,0.8,4,5,0,2.531118394620928,0.8,0.8099293330790496,0.8099293330790496,,
2023-05-25,171.08099365234375,164.22743438720704,153.55575035095214,58.69232089755448,166.83100758481095,155.71112085872318,4.7595062255859375,2.8616303877644578,33.619305416752596,0.9999999999999999,5,5,0,2.506438747988422,0.9999999999999999,1.0,1.0,,
2023-05-26,173.4940643310547,164.61897033691406,154.0573844909668,63.87664012068171,167.21175368459632,156.10629738033055,5.9183502197265625,3.5317469784402755,33.21076444502275,1.0,5,5,-1,2.523788132723537,1.0,1.0,1.0,,
2023-05-30,175.34341430664062,165.0642837524414,154.5647915649414,67.2672454572148,167.676420005856,156.53378886758188,7.856597900390625,4.690875418715912,33.23453045015653,1.0,5,5,1,2.5949962980211256,1.0,1.0,1.0,,
2023-05-31,175.2939910888672,165.4612030029297,155.0849182128906,67.0860206152946,168.11170978202804,156.9506822502771,8.844131469726562,5.3133907652209045,33.29967473567177,1.0,5,5,1,2.592598706211409,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-01,178.10263061523438,165.87716217041014,155.58777084350587,71.74470787258637,168.68261954392554,157.42072554727616,12.729248046875,7.69727742710542,33.45350032575951,1.0,5,5,1,2.6327559042136293,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-02,178.9531707763672,166.33877197265625,156.0939027404785,72.99142613640551,169.26950818577936,157.89922433014485,15.219207763671875,9.295083001497883,33.7902704223579,1.0,5,5,1,2.622715870133575,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-05,177.5982666015625,166.75155731201173,156.5807662963867,67.85513449969304,169.74543723810982,158.33698082506524,6.1807861328125,3.605691855877713,34.43170586174172,1.0,5,5,1,2.923503956672609,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-06,177.23236083984375,167.13095092773438,157.0367544555664,66.49429298738269,170.1732614439232,158.75687815872698,5.884033203125,3.433960100036648,34.88483184148718,1.0,5,5,1,2.9047049106288845,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-07,175.85768127441406,167.52176208496093,157.47978469848633,61.50379739433729,170.49808543423697,159.13689600574224,6.2178802490234375,3.665342809552574,35.42419271775909,1.0,5,5,1,2.972016806059915,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-08,178.5773468017578,167.97941101074218,157.93669921875,66.81085783858151,170.95975751238103,159.56890602343148,7.16973876953125,4.182859122672822,35.936585550217416,1.0,5,5,1,2.998493471271959,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-09,178.9630584716797,168.38314758300783,158.3858351135254,67.49526529781494,171.41708899576952,159.9998871889481,7.3678131103515625,4.29371635259308,36.563653798562925,1.0,5,5,1,2.9015786498857783,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-12,181.76177978515625,168.81145294189454,158.87015655517578,72.00616047437522,172.00821418373448,160.48348480219715,11.096145629882812,6.501687164380976,37.31642296454048,1.0,5,5,1,2.9012961606199807,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-13,181.287109375,169.18009521484376,159.34913970947267,70.22611162876608,172.5384367660925,160.94578757048166,11.115982055664062,6.532237419338638,38.055629222559816,1.0,5,5,1,2.8148550861218733,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-14,181.9200439453125,169.53631103515625,159.80881378173828,71.24681503636586,173.07452860490508,161.411882156589,11.748916625976562,6.904177465974604,38.63132612530131,1.0,5,5,1,2.7812112504249233,1.0,1.0,1.0,0.01,0.20557387892574747
2023-06-15,183.95729064941406,169.9439373779297,160.2569108581543,74.30071332114379,173.69640072173416,161.91289123420734,13.173004150390625,7.713241317705166,39.38395230744257,1.0,5,5,1,2.7761081826484726,1.0,1.0,1.0,0.01,0.20557387892574747
